Palette: 13
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0
overseersMin: 0
overseersMax: 0
earlyCycleChance: 0.0
earlyCycleFloodChance: 0.0
playerGuideOverseerSpawnChance: 0.0
pupSpawnChance: 0.0
Room_Attr: DM_CROSSOVER02: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,MotherSpider-Forbidden,Inspector-Forbidden,
Room_Attr: DM_I01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_I02: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Like,
Room_Attr: DM_S04: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_I03: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Avoid,
Room_Attr: DM_I04: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,MotherSpider-Forbidden,Inspector-Forbidden,
Room_Attr: DM_I05: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,MotherSpider-Forbidden,Inspector-Like,
Room_Attr: DM_I06: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_I07: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,MotherSpider-Forbidden,Inspector-Forbidden,
Room_Attr: DM_S03: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_I08: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Avoid,
Room_Attr: DM_I09: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Like,
Room_Attr: DM_I10: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosVulture-Forbidden,MotherSpider-Avoid,Inspector-Forbidden,
Room_Attr: DM_I11: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_I12: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_I13: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_S05: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_FAKEGATE_UNDER: MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_WALL04: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_WALL06: MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_ROOF01: YellowLizard-Avoid,DropBug-Avoid,MirosVulture-Forbidden,
Room_Attr: DM_TEMPLE: YellowLizard-Forbidden,DropBug-Avoid,MirosVulture-Forbidden,
Room_Attr: DM_ROOF03: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_ACCSHAFT: YellowLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_ROOF04: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_M01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Like,
Room_Attr: DM_A16: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_S10: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_M02: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Like,
Room_Attr: DM_A15: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_S06: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_MOONCHAMBER: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_MEM01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Like,
Room_Attr: DM_MEM02: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_MEM03: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_MEM04: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Like,
Room_Attr: DM_LAB1: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB2: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB3: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB4: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB5: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB6: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB7: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB8: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB9: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB10: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB11: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB12: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB13: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,
Room_Attr: DM_LAB14: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Avoid,
Room_Attr: DM_C13: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Avoid,
Room_Attr: DM_AI: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_U01: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosVulture-Forbidden,MotherSpider-Avoid,Inspector-Forbidden,
Room_Attr: DM_U02: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosVulture-Forbidden,MotherSpider-Avoid,Inspector-Forbidden,
Room_Attr: DM_S02: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,MirosVulture-Forbidden,MotherSpider-Forbidden,Inspector-Forbidden,
Room_Attr: DM_U03: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosVulture-Forbidden,MotherSpider-Avoid,Inspector-Forbidden,
Room_Attr: DM_U04: MirosVulture-Like,Inspector-Forbidden,
Room_Attr: DM_U05: MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_U06: LanternMouse-Avoid,MirosVulture-Avoid,Inspector-Forbidden,
Room_Attr: DM_U07: Inspector-Forbidden,
Room_Attr: DM_U08: LanternMouse-Avoid,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_U09: LanternMouse-Avoid,MirosVulture-Like,Inspector-Forbidden,
Room_Attr: DM_U10: WhiteLizard-Like,LanternMouse-Like,Inspector-Forbidden,
Room_Attr: DM_U11: LanternMouse-Avoid,Inspector-Forbidden,
Room_Attr: DM_UHALL: WhiteLizard-Avoid,MirosVulture-Forbidden,Inspector-Forbidden,
Room_Attr: DM_LEG01: MirosVulture-Forbidden,
Room_Attr: DM_LEG02: MirosVulture-Forbidden,
Room_Attr: DM_LEG03: MirosVulture-Like,
Room_Attr: DM_LEG04: MirosVulture-Forbidden,
Room_Attr: DM_LEG05: MirosVulture-Forbidden,
Room_Attr: DM_LEG06: MirosVulture-Like,
Room_Attr: DM_LEG08: MirosVulture-Forbidden,
Room_Attr: DM_LEG07: MirosVulture-Forbidden,
Room_Attr: OffScreenDen_DM: MirosVulture-Forbidden,Inspector-Forbidden,
