Palette: 13
corruptionEffectColor: 0.1,0.0,0.9
corruptionEyeColor: 0.1,0.0,0.9
waterColorOverride: 0.15, 0.35, 0.15
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.7
overseersMin: 3
overseersMax: 8
playerGuideOverseerSpawnChance: 0.5
pupSpawnChance: 0.3
Room_Attr: LM_C03: CyanLizard-Avoid,Vulture-Avoid,Scavenger-Avoid,KingVulture-Avoid,ScavengerElite-Avoid,
Room_Attr: LM_A11: CyanLizard-Avoid,Scavenger-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_A05: CyanLizard-Avoid,Vulture-Forbidden,LanternMouse-Forbidden,JetFish-Avoid,Scavenger-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: LM_E02: CyanLizard-Avoid,Vulture-Forbidden,LanternMouse-Forbidden,Scavenger-Avoid,Overseer-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: LM_C06: Vulture-Avoid,KingVulture-Avoid,
Room_Attr: LM_S15: LanternMouse-Forbidden,Scavenger-Forbidden,Overseer-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_MIRRORSIDE: Vulture-Forbidden,Scavenger-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: LM_EXTRASIDE: WhiteLizard-Avoid,Vulture-Forbidden,Scavenger-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: LM_SIDESWAMP: WhiteLizard-Avoid,Vulture-Avoid,Scavenger-Avoid,KingVulture-Avoid,ScavengerElite-Avoid,
Room_Attr: LM_TOWERSIDE: WhiteLizard-Like,Vulture-Forbidden,Scavenger-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: LM_S11: Vulture-Forbidden,LanternMouse-Forbidden,KingVulture-Forbidden,
Room_Attr: LM_H03: YellowLizard-Forbidden,WhiteLizard-Avoid,CyanLizard-Avoid,Vulture-Forbidden,LanternMouse-Forbidden,MirosBird-Stay,Scavenger-Avoid,Overseer-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: LM_LEGENTRANCE: WhiteLizard-Avoid,Vulture-Forbidden,LanternMouse-Avoid,Scavenger-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: LM_LEGENTRANCEARTY: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,SlugNPC-Forbidden,JungleLeech-Forbidden,ZoopLizard-Forbidden,ScavengerKing-Forbidden,TrainLizard-Forbidden,
Room_Attr: LM_WALL03: CyanLizard-Avoid,LanternMouse-Forbidden,Scavenger-Forbidden,Overseer-Like,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_WALL02: CyanLizard-Avoid,LanternMouse-Forbidden,Scavenger-Forbidden,Overseer-Like,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_WALL05: LanternMouse-Forbidden,Scavenger-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_BRIDGEEND: BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: LM_BRIDGE01: LanternMouse-Forbidden,Scavenger-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_EDGE01: BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: LM_BRIDGE02: CyanLizard-Like,Vulture-Like,LanternMouse-Forbidden,CicadaA-Like,CicadaB-Like,Centiwing-Like,Scavenger-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,KingVulture-Like,MirosVulture-Like,MotherSpider-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_BRIDGE03: CyanLizard-Like,Vulture-Like,LanternMouse-Forbidden,CicadaA-Like,CicadaB-Like,Centiwing-Like,Scavenger-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,KingVulture-Like,MirosVulture-Like,MotherSpider-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_S13: LanternMouse-Forbidden,Scavenger-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_EDGE02: BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: LM_TOWER01: CyanLizard-Like,
Room_Attr: LM_TOWER02: CyanLizard-Like,
Room_Attr: LM_TOWER03: Vulture-Avoid,CicadaA-Avoid,CicadaB-Avoid,Centiwing-Avoid,KingVulture-Avoid,MirosVulture-Avoid,
Room_Attr: LM_TOWER04: CyanLizard-Like,Vulture-Like,CicadaA-Like,CicadaB-Like,Centiwing-Like,KingVulture-Like,MirosVulture-Like,
Room_Attr: LM_TOWER05: CyanLizard-Like,
Room_Attr: LM_TOWER06: CyanLizard-Avoid,
Room_Attr: LM_TOWER07: Vulture-Avoid,CicadaA-Avoid,CicadaB-Avoid,Centiwing-Avoid,KingVulture-Avoid,MirosVulture-Avoid,
Room_Attr: LM_TOWER08: CyanLizard-Like,
Room_Attr: LM_TOWER09: CyanLizard-Like,Vulture-Avoid,CicadaA-Avoid,CicadaB-Avoid,Centiwing-Avoid,KingVulture-Avoid,MirosVulture-Avoid,
Room_Attr: LM_TOWER10ARTY: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,SlugNPC-Forbidden,JungleLeech-Forbidden,ZoopLizard-Forbidden,ScavengerKing-Forbidden,TrainLizard-Forbidden,
Room_Attr: LM_TOWER10: CyanLizard-Like,
Room_Attr: LM_TOWER11: CyanLizard-Like,Vulture-Like,CicadaA-Like,CicadaB-Like,Centiwing-Like,KingVulture-Like,MirosVulture-Like,
Room_Attr: LM_TOWER12: CyanLizard-Like,
Room_Attr: LM_TOWER13: CyanLizard-Like,Vulture-Like,CicadaA-Like,CicadaB-Like,Centiwing-Like,KingVulture-Like,MirosVulture-Like,
Room_Attr: LM_TOWER14: CyanLizard-Like,
Room_Attr: LM_BRIDGE04ARTY: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,SlugNPC-Forbidden,JungleLeech-Forbidden,ZoopLizard-Forbidden,ScavengerKing-Forbidden,TrainLizard-Forbidden,
Room_Attr: LM_BRIDGE04: CyanLizard-Avoid,Vulture-Stay,CicadaA-Stay,CicadaB-Stay,Centiwing-Stay,KingVulture-Stay,MirosVulture-Stay,
Room_Attr: LM_ECNIUS01: Vulture-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Scavenger-Avoid,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_ECNIUS02: CyanLizard-Avoid,Vulture-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Scavenger-Avoid,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LM_ECNIUS03: CyanLizard-Avoid,Vulture-Avoid,JetFish-Stay,BigEel-Forbidden,Scavenger-Avoid,KingVulture-Avoid,ScavengerElite-Forbidden,
