Palette: 0
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
batsPerActiveSwarmRoom: 7
overseersSpawnChance: 0.8
overseersMin: 0
overseersMax: 4
playerGuideOverseerSpawnChance: 1.0
batGlowColor: FFB600
Room_Attr: SU_A17: Vulture-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: SU_A40: GreenLizard-Like,BlueLizard-Like,YellowLizard-Like,WhiteLizard-Like,RedLizard-Like,BlackLizard-Like,Salamander-Like,Vulture-Forbidden,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: SU_B07: PinkLizard-Avoid,GreenLizard-Like,BlueLizard-Like,YellowLizard-Like,WhiteLizard-Like,RedLizard-Like,BlackLizard-Like,Salamander-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Avoid,
Room_Attr: SU_A02: PinkLizard-Avoid,Vulture-Avoid,DropBug-Avoid,KingVulture-Avoid,
Room_Attr: SU_A53: PinkLizard-Avoid,GreenLizard-Avoid,Vulture-Avoid,KingVulture-Avoid,
Room_Attr: SU_A39: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_A38: PinkLizard-Avoid,Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_A25: PinkLizard-Avoid,GreenLizard-Forbidden,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_A24: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: SU_A23: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: SU_A22: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Forbidden,
Room_Attr: SU_C04: Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: SU_A41: Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: SU_A42: SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A43: SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_A44: SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: SU_S01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,
Room_Attr: SU_A06: PinkLizard-Avoid,GreenLizard-Like,Vulture-Avoid,DropBug-Like,KingVulture-Avoid,
Room_Attr: SU_A36: PinkLizard-Avoid,Vulture-Forbidden,DropBug-Like,KingVulture-Forbidden,
Room_Attr: SU_B08: GreenLizard-Like,BlueLizard-Like,YellowLizard-Like,WhiteLizard-Like,RedLizard-Like,BlackLizard-Like,Salamander-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Like,
Room_Attr: SU_B09: Vulture-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Like,KingVulture-Forbidden,
Room_Attr: SU_A35: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,Centipede-Avoid,SmallCentipede-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_A20: PinkLizard-Like,Vulture-Forbidden,Centipede-Stay,SmallCentipede-Stay,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: SU_A31: Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_A32: Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_B05: PinkLizard-Like,GreenLizard-Like,BlueLizard-Like,YellowLizard-Like,WhiteLizard-Like,RedLizard-Like,BlackLizard-Like,Salamander-Like,DropBug-Like,
Room_Attr: SU_A07: PinkLizard-Like,GreenLizard-Like,BlueLizard-Like,YellowLizard-Like,WhiteLizard-Like,RedLizard-Like,BlackLizard-Like,Salamander-Like,CyanLizard-Avoid,Scavenger-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Like,
Room_Attr: SU_A45: CyanLizard-Avoid,Vulture-Forbidden,Scavenger-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: SU_C02: PinkLizard-Like,GreenLizard-Like,CyanLizard-Avoid,Scavenger-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Avoid,
Room_Attr: SU_B06: DropBug-Like,
Room_Attr: SU_B11: SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Like,
Room_Attr: SU_A12: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: SU_A13: SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Like,
Room_Attr: SU_B02: PinkLizard-Like,Vulture-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Like,KingVulture-Avoid,
Room_Attr: SU_A29: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,Centipede-Avoid,SmallCentipede-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_B10: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_A10: PinkLizard-Like,GreenLizard-Like,
Room_Attr: SU_B01: PinkLizard-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Like,
Room_Attr: SU_A04: PinkLizard-Like,GreenLizard-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Like,
Room_Attr: SU_C01: PinkLizard-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Like,
Room_Attr: SU_B14: Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_A30: Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
earlyCycleChance: 0.02
earlyCycleFloodChance: 0.33
pupSpawnChance: 0.15
Room_Attr: GATE_OE_SU: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,
Room_Attr: SU_CAVE01: StandardGroundCreature-Avoid,Slugcat-Avoid,LizardTemplate-Avoid,PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,Fly-Avoid,Leech-Avoid,SeaLeech-Avoid,Snail-Avoid,Vulture-Forbidden,GarbageWorm-Avoid,LanternMouse-Avoid,CicadaA-Avoid,CicadaB-Avoid,Spider-Avoid,JetFish-Avoid,BigEel-Avoid,Deer-Avoid,TubeWorm-Avoid,DaddyLongLegs-Avoid,BrotherLongLegs-Avoid,TentaclePlant-Avoid,PoleMimic-Avoid,MirosBird-Avoid,TempleGuard-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,Overseer-Avoid,VultureGrub-Avoid,EggBug-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Avoid,KingVulture-Forbidden,Hazer-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,EelLizard-Avoid,MotherSpider-Avoid,TerrorLongLegs-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,FireBug-Avoid,StowawayBug-Avoid,ScavengerElite-Avoid,Inspector-Avoid,Yeek-Avoid,BigJelly-Avoid,
Room_Attr: SU_CAVE02: StandardGroundCreature-Avoid,Slugcat-Avoid,LizardTemplate-Avoid,PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,Fly-Avoid,Leech-Avoid,SeaLeech-Avoid,Snail-Avoid,Vulture-Forbidden,GarbageWorm-Avoid,LanternMouse-Avoid,CicadaA-Avoid,CicadaB-Avoid,Spider-Avoid,JetFish-Avoid,BigEel-Avoid,Deer-Avoid,TubeWorm-Avoid,DaddyLongLegs-Avoid,BrotherLongLegs-Avoid,TentaclePlant-Avoid,PoleMimic-Avoid,MirosBird-Avoid,TempleGuard-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,Overseer-Avoid,VultureGrub-Avoid,EggBug-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Avoid,KingVulture-Forbidden,Hazer-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,EelLizard-Avoid,MotherSpider-Avoid,TerrorLongLegs-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,FireBug-Avoid,StowawayBug-Avoid,ScavengerElite-Avoid,Inspector-Avoid,Yeek-Avoid,BigJelly-Avoid,
Room_Attr: SU_PUMP03: StandardGroundCreature-Avoid,Slugcat-Avoid,LizardTemplate-Avoid,PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,Fly-Avoid,Leech-Avoid,SeaLeech-Avoid,Snail-Avoid,Vulture-Forbidden,GarbageWorm-Avoid,LanternMouse-Avoid,CicadaA-Avoid,CicadaB-Avoid,Spider-Avoid,JetFish-Avoid,BigEel-Avoid,Deer-Avoid,TubeWorm-Avoid,DaddyLongLegs-Avoid,BrotherLongLegs-Avoid,TentaclePlant-Avoid,PoleMimic-Avoid,MirosBird-Avoid,TempleGuard-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,Overseer-Avoid,VultureGrub-Avoid,EggBug-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Avoid,KingVulture-Forbidden,Hazer-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,EelLizard-Avoid,MotherSpider-Avoid,TerrorLongLegs-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,FireBug-Avoid,StowawayBug-Avoid,ScavengerElite-Avoid,Inspector-Avoid,Yeek-Avoid,BigJelly-Avoid,
Room_Attr: SU_S05: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,
Room_Attr: SU_CAVE03: StandardGroundCreature-Avoid,Slugcat-Avoid,LizardTemplate-Avoid,PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,Fly-Avoid,Leech-Avoid,SeaLeech-Avoid,Snail-Avoid,Vulture-Avoid,GarbageWorm-Avoid,LanternMouse-Avoid,CicadaA-Avoid,CicadaB-Avoid,Spider-Avoid,JetFish-Avoid,BigEel-Avoid,Deer-Avoid,TubeWorm-Avoid,DaddyLongLegs-Avoid,BrotherLongLegs-Avoid,TentaclePlant-Avoid,PoleMimic-Avoid,MirosBird-Avoid,TempleGuard-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,Overseer-Avoid,VultureGrub-Avoid,EggBug-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Avoid,KingVulture-Avoid,Hazer-Avoid,MirosVulture-Avoid,SpitLizard-Avoid,EelLizard-Avoid,MotherSpider-Avoid,TerrorLongLegs-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,FireBug-Avoid,StowawayBug-Avoid,ScavengerElite-Avoid,Inspector-Avoid,Yeek-Avoid,BigJelly-Avoid,
Room_Attr: SU_CAVE04: StandardGroundCreature-Avoid,Slugcat-Avoid,LizardTemplate-Avoid,PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,Fly-Avoid,Leech-Avoid,SeaLeech-Avoid,Snail-Avoid,Vulture-Avoid,GarbageWorm-Avoid,LanternMouse-Avoid,CicadaA-Avoid,CicadaB-Avoid,Spider-Avoid,JetFish-Avoid,BigEel-Avoid,Deer-Avoid,TubeWorm-Avoid,DaddyLongLegs-Avoid,BrotherLongLegs-Avoid,TentaclePlant-Avoid,PoleMimic-Avoid,MirosBird-Avoid,TempleGuard-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,Overseer-Avoid,VultureGrub-Avoid,EggBug-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Avoid,KingVulture-Avoid,Hazer-Avoid,MirosVulture-Avoid,SpitLizard-Avoid,EelLizard-Avoid,MotherSpider-Avoid,TerrorLongLegs-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,FireBug-Avoid,StowawayBug-Avoid,ScavengerElite-Avoid,Inspector-Avoid,Yeek-Avoid,BigJelly-Avoid,
Room_Attr: SU_CAVE05: StandardGroundCreature-Avoid,Slugcat-Avoid,LizardTemplate-Avoid,PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,Fly-Avoid,Leech-Avoid,SeaLeech-Avoid,Snail-Avoid,Vulture-Avoid,GarbageWorm-Avoid,LanternMouse-Avoid,CicadaA-Avoid,CicadaB-Avoid,Spider-Avoid,JetFish-Avoid,BigEel-Avoid,Deer-Avoid,TubeWorm-Avoid,DaddyLongLegs-Avoid,BrotherLongLegs-Avoid,TentaclePlant-Avoid,PoleMimic-Avoid,MirosBird-Avoid,TempleGuard-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,Overseer-Avoid,VultureGrub-Avoid,EggBug-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Avoid,KingVulture-Avoid,Hazer-Avoid,MirosVulture-Avoid,SpitLizard-Avoid,EelLizard-Avoid,MotherSpider-Avoid,TerrorLongLegs-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,FireBug-Avoid,StowawayBug-Avoid,ScavengerElite-Avoid,Inspector-Avoid,Yeek-Avoid,BigJelly-Avoid,
Room_Attr: SU_PMPSTATION01: StandardGroundCreature-Avoid,Slugcat-Avoid,LizardTemplate-Avoid,PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,Fly-Avoid,Leech-Avoid,SeaLeech-Avoid,Snail-Avoid,Vulture-Avoid,GarbageWorm-Avoid,LanternMouse-Avoid,CicadaA-Avoid,CicadaB-Avoid,Spider-Avoid,JetFish-Avoid,BigEel-Avoid,Deer-Avoid,TubeWorm-Avoid,DaddyLongLegs-Avoid,BrotherLongLegs-Avoid,TentaclePlant-Avoid,PoleMimic-Avoid,MirosBird-Avoid,TempleGuard-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,Overseer-Avoid,VultureGrub-Avoid,EggBug-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Avoid,KingVulture-Avoid,Hazer-Avoid,MirosVulture-Avoid,SpitLizard-Avoid,EelLizard-Avoid,MotherSpider-Avoid,TerrorLongLegs-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,FireBug-Avoid,StowawayBug-Avoid,ScavengerElite-Avoid,Inspector-Avoid,Yeek-Avoid,BigJelly-Avoid,
Room_Attr: SU_INTRO01: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,
Room_Attr: SU_PS1: StandardGroundCreature-Avoid,Slugcat-Avoid,LizardTemplate-Avoid,PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,Fly-Avoid,Leech-Avoid,SeaLeech-Avoid,Snail-Avoid,Vulture-Avoid,GarbageWorm-Avoid,LanternMouse-Avoid,CicadaA-Avoid,CicadaB-Avoid,Spider-Avoid,JetFish-Avoid,BigEel-Avoid,Deer-Avoid,TubeWorm-Avoid,DaddyLongLegs-Avoid,BrotherLongLegs-Avoid,TentaclePlant-Avoid,PoleMimic-Avoid,MirosBird-Avoid,TempleGuard-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,Overseer-Avoid,VultureGrub-Avoid,EggBug-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Avoid,KingVulture-Avoid,Hazer-Avoid,MirosVulture-Avoid,SpitLizard-Avoid,EelLizard-Avoid,MotherSpider-Avoid,TerrorLongLegs-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,FireBug-Avoid,StowawayBug-Avoid,ScavengerElite-Avoid,Inspector-Avoid,Yeek-Avoid,BigJelly-Avoid,
