Palette: 4
waterColorOverride: 0.15, 0.35, 0.15
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.2
overseersMin: 0
overseersMax: 2
playerGuideOverseerSpawnChance: 0.0
pupSpawnChance: 0.5
Room_Attr: UG_A21: Scavenger-Like,ScavengerElite-Like,
Room_Attr: UG_C03: Leech-Forbidden,Scavenger-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,DropBug-Avoid,ScavengerElite-Avoid,
Room_Attr: UG_B10: Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_D01: Leech-Forbidden,Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Avoid,ScavengerElite-Avoid,
Room_Attr: UG_A05: Snail-Stay,Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Avoid,ScavengerElite-Avoid,
Room_Attr: UG_D03: Leech-Forbidden,Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_C02: Scavenger-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UG_D02: Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_DARK01: Scavenger-Avoid,ScavengerElite-Avoid,
Room_Attr: UG_DARK02: Scavenger-Avoid,ScavengerElite-Avoid,
Room_Attr: UG_A26: Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_B06: Snail-Forbidden,Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,ScavengerElite-Avoid,
Room_Attr: UG_TOLL: Scavenger-Like,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,ScavengerElite-Like,
Room_Attr: UG_Filters: BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,
Room_Attr: UG_GUTTER01: BigSpider-Avoid,SpitterSpider-Avoid,DropBug-Avoid,
Room_Attr: UG_GUTTER02: DropBug-Avoid,
Room_Attr: UG_GUTTER03: BigSpider-Like,SpitterSpider-Like,DropBug-Avoid,
Room_Attr: UG_GUTTER04: BigSpider-Like,SpitterSpider-Like,DropBug-Avoid,
Room_Attr: UG_GUTTER05: Scavenger-Like,BigSpider-Like,SpitterSpider-Like,DropBug-Avoid,ScavengerElite-Like,
Room_Attr: UG_RIVSTART: BigSpider-Avoid,SpitterSpider-Avoid,DropBug-Avoid,
