Palette: 16
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
corruptionEffectColor: 0.1,0.0,0.9
corruptionEyeColor: 0.1,0.0,0.9
overseersSpawnChance: 1
overseersMin: 4
overseersMax: 8
playerGuideOverseerSpawnChance: 0.0
Room_Attr: UW_C02: Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_A05: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,DaddyLongLegs-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_C01: Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_A03: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,DaddyLongLegs-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_J02: YellowLizard-Stay,CyanLizard-Like,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_I01: YellowLizard-Stay,CyanLizard-Like,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_S02: Overseer-Avoid,
Room_Attr: UW_A10: CyanLizard-Avoid,DaddyLongLegs-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,KingVulture-Forbidden,
Room_Attr: UW_A11: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,DaddyLongLegs-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_A06: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,DaddyLongLegs-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_E04: CyanLizard-Like,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_A08: CyanLizard-Avoid,DaddyLongLegs-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: UW_C03: DaddyLongLegs-Forbidden,Overseer-Avoid,KingVulture-Forbidden,
Room_Attr: UW_D04: Overseer-Avoid,KingVulture-Forbidden,
Room_Attr: UW_B01: CyanLizard-Avoid,DaddyLongLegs-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,KingVulture-Forbidden,
Room_Attr: UW_D03: CyanLizard-Like,Overseer-Avoid,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: UW_A09: CyanLizard-Avoid,DaddyLongLegs-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,KingVulture-Forbidden,
Room_Attr: UW_E03: CyanLizard-Avoid,Overseer-Avoid,SpitterSpider-Like,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: UW_E02: Overseer-Avoid,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: UW_A07: CyanLizard-Avoid,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: UW_C06: CyanLizard-Avoid,Overseer-Avoid,SpitterSpider-Avoid,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: UW_D02: CyanLizard-Avoid,Overseer-Avoid,SpitterSpider-Like,DropBug-Avoid,KingVulture-Forbidden,
